Stock,Status,Time,Notes,PnL,Quantity (Shares),Entry Price ($),Exit Price ($),Time of trade,Exitted Early/Late/Just nice,Stop Loss Too Tight?,Entry Signal,Waited for candle close,Grade,"Time Lasted (minutes, seconds)",Entry,Entry TF,Take profit (price),Take profit (total),Stop loss (Price),Stop loss (total),Sharpe Ratio,Day,Account,Position,EMA,Pivot,Flag,Signal Bar,Follow Through Bar (Type),Follow Through Bar Volume,Pullback,News,Setup,Stock Chart,Market Condition,Swing/Day Trade,LVL 2 Data,Swing sold time,Wick,Type,Price >1,Pre Market Gap,Opening High,Relative volume on time of trade
PDD,Win,"March 20, 2025","Bought a stock on 20 EMA pullback which has high relative volume during the day. A stock with high relative volume during the day generally presents high probability set ups on 9ema, smoother price action and a greater likelihood of going long till the end of the day. Followed all my rules. Hit 1:2 RR without exiting trade early. Price fell after reaching profit target. Profit target set at the resistance level as price was in an ascending triangle on the daily ",25.0,10.0,$126.50,$129.00,9.48,Perfect,Just Nice,Low Volume Red Candles in Pullback,Green Bar,A,3.0,Limit,5m,,0.0,,0.0,,Thurs,Cash,Long,Between 9 and 20 EMA,After Pivot,Pullback to 20ema,medium green,Overtook high of signal bar,Above average,First pullback,Yes,,,Trending Up,,,,,Momentum,Y,,,
RGNX,,"March 14, 2025",,-12.6,70.0,$7.80,$7.62,9.4,,,"Green MACD, Hammer Signal Bar, High Volume Green Candles In Pullback, Low Volume Red Candles in Pullback, POC Touches Pullback after Peak",Green Bar,B,,Limit,1m,,0.0,,0.0,,,Cash,,,,,,,,,,,,,,,,,,,,,
SOXS,,"March 13, 2025","Got greedy and overtraded. Tried to trade on the retest of the vwap which my order did not get filled. Price ran up then which i tried to get an entry again, which failed. I then got greedy and entered on the next leg up that happened really fast which i got stopped out immediately. On the big picture, it was an exhaustion gap. Also, it is a bad idea to try to chase the run up of the stock and to follow the set up in the playbook specifically.",0.0,,,,,,,,,,,,,,0.0,,0.0,,,Cash,,,,,,,,,,,,,,,,,,,,,
YALA,,"March 13, 2025","Sold early as I kept adjusting my stop loss up even though the trade was a winning trade, resulting in me getting stopped out on a $2 loss. Turns out, the bid price can also trigger stop orders. Next time, when placing a trade, it’s better to just set and forget… Also, the entry wasn’t optimal due to the wide bid ask spread, giving me a bad price for the entry.",-1.5,150.0,$4.85,$4.84,9.39,,Too tight,"Green MACD, High Volume Green Candles In Pullback, Low Volume Red Candles in Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,C,4.0,Limit,1m,,0.0,,0.0,,,Cash,,,,,,,,,,,,,,,,,,,,,
NN,,"March 13, 2025","Adjusted stop loss out of fear and that my stop loss order got cancelled accidentally. This was both a mechanical and psychological error. Price subsequently made a run up afterwards as it had great earnings, having sales beating its estimate by about 10%. Sold on a market order whcih ended up giving me a horrible fill.",-9.6,40.0,$11.80,$11.56,9.47,,Too tight,"Low Volume Red Candles in Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,C,3.0,Limit,1m,,0.0,,0.0,,,Cash,,,,,,,,,,,,,,,,,,,,,
MOMO,,"March 12, 2025","Bought when the candle overtook the high of the previous candle which bounced off 20EMA and stayed under 9EMA. However, pullback of the stock was prolonged, making it a risky entry. Stock then continued a run up after falling down to VWAP again. An error on my end was that I entered a position on the stock despite MACD turning red as I was greedy and felt FOMO. I have also broken my rules as the pullback was not to 9EMA, but rather, it broke below 9EMA and dropped down to the 20EMA.",-7.5,150.0,$6.75,$6.70,9.43,,Too tight,"Low Volume Red Candles in Pullback, POC Touches Pullback after Peak",Green Bar,C,3.0,Limit,1m,,0.0,,0.0,,,Cash,,,,,,,,,,,,,,,,,,,,,
RDFN,Win,"March 11, 2025",Sold early as i kept adjusting my stop loss up,19.0,100.0,$9.59,$9.78,9.37,Early,Just Nice,"Green MACD, Hammer Signal Bar, High Volume Green Candles In Pullback, Low Volume Red Candles in Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,B,20.0,Limit,1m,,0.0,,0.0,,Tues,Cash,,,,,,,,,,,,,,,,,,,,,
NIO,Win,"March 10, 2025",Raised stop loss up towards breakout area as i wasn’t expecting the hold above breakout level. This was mostly due to the weak market conditions and that the price is not likely to grind higher. Followed my rules and made sure i ended the day on a win by raising stop loss. Expectations were low and at least i ended off on a profit. Placed stop loss below VWAP. Position was sold early as it entered an ascending wedge pattern,12.0,300.0,$4.57,$4.61,9.45,Early,Just Nice,"High Volume Green Candles In Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,A,11.0,Limit,1m,$4.70,39.0,,0.0,,Mon,Cash,,,,,,,,,,,,,,,,,,,,,
LUNR,Win,"March 7, 2025",Should have sold earlier. Price rose all the way up to 9.19 and i let it drop back to 8.65 to sell. Should have stuck to the 1:2/1:2.5 RR rule.,12.0,40.0,$8.35,$8.65,9.39,Late,Just Nice,"Green MACD, Hammer Signal Bar, High Volume Green Candles In Pullback, Low Volume Red Candles in Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,B,12.0,Limit,1m,,0.0,,0.0,,Fri,Cash,,,,,,,,,,,,,,,,,,,,,
SEDG,Win,"March 7, 2025",Followed rules as per usual. should he sold earlier as price rose all the way up to 17.54. ,4.5,50.0,$17.18,$17.27,9.38,Late,Just Nice,"Green MACD, Hammer Signal Bar, High Volume Green Candles In Pullback, POC Touches Pullback after Peak, Pullback to 9EMA",Green Bar,B,11.0,Limit,1m,,0.0,,0.0,,Fri,Cash,,,,,,,,,,,,,,,,,,,,,
